Store,Name,Street,ZIP,City,Canton,Country,Language,Telephone,Tag,Category,Location,Lat,Lon
12631,Presse-Kiosk Jelmoli,Seidengasse 1,8021,Zürich,ZH,CH,DE,044/210 03 23,PRESSE KIO,k kiosk,Seidengasse 1 Zürich 8021,47.3742433,8.5376607
13970,k Snack Central,Central./Zähringerstr.51,8001,Zürich,ZH,CH,DE,044/251 40 69,K SNACK,k kiosk snacks,Central./Zähringerstr.51 Zürich 8001,47.3765991,8.5443569
14291,k Kiosk Bleicherweg,Bleicherweg 19,8000,Zürich,ZH,CH,DE,044/202 69 05,KIOSK BLEI,k kiosk,Bleicherweg 19 Zürich 8000,47.3677763,8.5357134
14869,Press & Books Haupthalle,Railcity / Hauptbahnhof,8021,Zürich,ZH,CH,DE,044/212 30 78,PRESSE&BOO,k kiosk presse buch,Hauptbahnhof Zürich 8021,47.3717306,8.5386279
14877,avec.,Bahnhof SBB Oerlikon,8050,Zürich,ZH,CH,DE,,AVEC.,avec,Bahnhof SBB Oerlikon Zürich 8050,47.4093339,8.5448754
14881,k kiosk HB Satellit,Perronhalle / Railcity,8021,Zürich,ZH,CH,DE,044/211 00 40,K KIOSK,k kiosk,Perronhalle / Railcity Zürich 8021,,
15902,PC Airport Shopping,Airport Shopping,8060,Zürich-Flughafen,ZH,CH,DE,043/305 27 20,PC AIRPORT,k kiosk presse,Airport Shopping Zürich-Flughafen 8060,,
18147,k kiosk Bellevueplatz,Bellevueplatz,8001,Zürich,ZH,CH,DE,044/252 53 50,BELLEVUEPL,k kiosk,Bellevueplatz Zürich 8001,47.3672872,8.5453732
18395,Tramendstat. Frankental,Tramendst. Frankentalstr.,8049,Zürich,ZH,CH,DE,044/341 78 53,FRANKENTAL,k kiosk,Tramendst. Frankentalstr. Zürich 8049,47.4044591,8.4970328
18406,avec. Zürich HB,Passage Sihlquai,8004,Zürich,ZH,CH,DE,043/243 95 60,AVEC.,avec,Passage Sihlquai Zürich 8004,47.3788238,8.5365103
18448,Press & Books Landes,Railcity/ H.Landesmuseum,8001,Zürich,ZH,CH,DE,043/497 39 18,PRESS&BOOK,k kiosk presse buch,Railcity/ H.Landesmuseum Zürich 8001,47.3741561,8.5396323
18449,Press & Books,Bahnreisezentrum,8060,Zürich-Flughafen,ZH,CH,DE,044/881 49 10,PRESS&BOOK,k kiosk presse buch,Bahnreisezentrum Zürich-Flughafen 8060,,
18458,Press & Book Altstett.Bhf,Altstetterplatz 11,8048,Zürich,ZH,CH,DE,043/811 73 65,PRESS & BO,k kiosk presse buch,Altstetterplatz 11 Zürich 8048,47.3915481,8.4885172
18470,Press&Books Migros CityZH,Löwenstrasse 35,8001,Zürich,ZH,CH,DE,043/344 80 68,PRESS &BOO,k kiosk presse buch,Löwenstrasse 35 Zürich 8001,47.3754155,8.5364136
18472,"Press&Books""Enge Z'Halle""",Tessinerplatz,8002,Zürich,ZH,CH,DE,043/243 07 46,PRESS&BOOK,k kiosk presse buch,Tessinerplatz Zürich 8002,47.3639183,8.5315011
18477,P & B Coffee & Books,Airside T1 L1,8060,Zürich-Flughafen,ZH,CH,DE,043/816 35 79,P&B COFFEE,k kiosk presse buch,Airside T1 L1 Zürich-Flughafen 8060,,
18484,P&B Airsidecenter T1 L2,Airsidecenter T1 Level2,8060,Zürich-Flughafen,ZH,CH,DE,043/818 93 00,PRESS&BOOK,k kiosk presse buch,Airsidecenter T1 Level2 Zürich-Flughafen 8060,,
18487,Press &Books Dok E West,Dok E West,8060,Zürich-Flughafen,ZH,CH,DE,043/305 29 02,PRESS& BOO,k kiosk presse buch,Dok E West Zürich-Flughafen 8060,,
18488,k kiosk Europaallee,Lagerstrasse 76,8004,Zürich,ZH,CH,DE,043/243 91 82,K KIOSK,k kiosk,Lagerstrasse 76 Zürich 8004,47.3782107,8.5321188
18697,k kiosk Augustiner,Augustinergasse 52,8001,Zürich,ZH,CH,DE,044/211 94 90,AUGUSTINER,k kiosk,Augustinergasse 52 Zürich 8001,47.3726415,8.5386737
19017,"k kiosk ""Bistro""",Tramstation Limmatplatz,8005,Zürich,ZH,CH,DE,044/272 32 33,K KIOSK,k kiosk Bistro,Tramstation Limmatplatz Zürich 8005,47.3847579,8.5318364
19165,k kiosk Hardau,Albisriederpl./Tr.Warteh.,8004,Zürich,ZH,CH,DE,044/493 57 09,HARDAU,k kiosk,Albisriederpl./Tr.Warteh. Zürich 8004,47.3807562,8.517289
